Persona,Hogar,Sexo,Edad,ActividadHogar,EstadoCivil,NivelInstruccion,ViaAccesoPrincipal,TenenciaVivienda,TipoAlumbrado,TipoVivienda,TieneVehiculo,NumeroVehiculos,TieneMoto,NumeroMotos,AbastecimientoSuper,AbastecimientoDiesel,AbastecimientoEco,AbastecimientoExtra,AbastecimientoElectricidad,AbastecimientoGas,GastoSuper,GastoDiesel,GastoEco,GastoExtra,GastoElectricidad,GastoGas,ValorMnsualArriendo,IncluyeServicioAgua,IncluyeServicioLuz,CantidadDeCuartos,CuartoDormitorios,CuartoNegocio,CuartoCocina,ParentescoPropietario,Basura,TipoCocina,Vivienda,MaterialPiso,MaterialParedes,MaterialTecho,EstadoParedes,EstadoTecho,EstadoParedes,MedidorDeAgua,ObtieneJuntaAgua,MedioRecibeAgua,MedioObtieneAgua,ServicioDucha,TipoDeServicioHigienico,NoTieneServicioHigienico,TipoInsatalacionSanitaria,UnidadMuestreo,Ciudad,Conglomeracion,Estrato,Area,FactorExpansion,Periodo,Mes
0101500011010280710201,01015000110102807101,2,43,12,5,6,1,4,1,2,1,2,2,0,2,2,1,2,2,2,0,0,110,0,0,0,250,3,3,3,2,0,1,2,2,1,0101500011010280701,2,1,2,2,2,2," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280710301,01015000110102807101,1,11,12,6,5,1,4,1,2,1,2,2,0,2,2,1,2,2,2,0,0,110,0,0,0,250,3,3,3,2,0,1,2,2,1,0101500011010280701,2,1,2,2,2,2," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280710401,01015000110102807101,1,8,12,6,5,1,4,1,2,1,2,2,0,2,2,1,2,2,2,0,0,110,0,0,0,250,3,3,3,2,0,1,2,2,1,0101500011010280701,2,1,2,2,2,2," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280710501,01015000110102807101,1,17,12,6,7,1,4,1,2,1,2,2,0,2,2,1,2,2,2,0,0,110,0,0,0,250,3,3,3,2,0,1,2,2,1,0101500011010280701,2,1,2,2,2,2," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280810101,01015000110102808101,1,43,12,5,4,1,1,1,2,1,1,1,1,2,2,1,2,2,2,0,0,50,0,0,0,120,2,2,4,3,0,1,2,2,1,0101500011010280801,4,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280810201,01015000110102808101,2,38,12,5,4,1,1,1,2,1,1,1,1,2,2,1,2,2,2,0,0,50,0,0,0,120,2,2,4,3,0,1,2,2,1,0101500011010280801,4,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280810301,01015000110102808101,1,18,12,6,7,1,1,1,2,1,1,1,1,2,2,1,2,2,2,0,0,50,0,0,0,120,2,2,4,3,0,1,2,2,1,0101500011010280801,4,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280810401,01015000110102808101,1,16,12,6,7,1,1,1,2,1,1,1,1,2,2,1,2,2,2,0,0,50,0,0,0,120,2,2,4,3,0,1,2,2,1,0101500011010280801,4,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280810501,01015000110102808101,2,10,12,6,5,1,1,1,2,1,1,1,1,2,2,1,2,2,2,0,0,50,0,0,0,120,2,2,4,3,0,1,2,2,1,0101500011010280801,4,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280810601,01015000110102808101,2,8,12,6,5,1,1,1,2,1,1,1,1,2,2,1,2,2,2,0,0,50,0,0,0,120,2,2,4,3,0,1,2,2,1,0101500011010280801,4,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
